name,latitude,longitude,county
Tijuana River Mouth,32.5466,-117.1290,San Diego
San Diego River Mouth,32.7585,-117.2552,San Diego
San Mateo Creek Mouth,33.3850,-117.5942,San Diego
San Juan Creek Mouth,33.4641,-117.7066,Orange
Aliso Creek Mouth,33.5095,-117.7530,Orange
Santa Ana River Mouth,33.6306,-117.9560,Orange
Talbert Marsh Outflow,33.6390,-117.9700,Orange
San Gabriel River Mouth,33.7405,-118.1180,Los Angeles
Los Angeles River Mouth,33.7560,-118.1888,Los Angeles
Ballona Creek Mouth,33.9614,-118.4661,Los Angeles
Malibu Creek Mouth,34.0356,-118.6815,Los Angeles
Calleguas Creek Mouth,34.1142,-119.1006,Ventura
Santa Clara River Mouth,34.2350,-119.2545,Ventura
Ventura River Mouth,34.2785,-119.3032,Ventura
Carpinteria Creek Mouth,34.3895,-119.5200,Santa Barbara
Goleta Slough Mouth,34.4135,-119.8375,Santa Barbara
Santa Maria River Mouth,34.9692,-120.6422,Santa Barbara
Pajaro River Mouth,36.8475,-121.8019,Monterey
Salinas River Mouth,36.7505,-121.8059,Monterey
Carmel River Mouth,36.5354,-121.9275,Monterey
Pescadero Creek Mouth,37.2625,-122.4117,San Mateo
San Lorenzo River Mouth,36.9637,-122.0073,Santa Cruz
Russian River Mouth,38.4500,-123.1300,Sonoma
Eel River Mouth,40.6386,-124.3097,Humboldt
Mad River Mouth,40.9385,-124.1100,Humboldt
Klamath River Mouth,41.5462,-124.0833,Del Norte
Smith River Mouth,41.9244,-124.2040,Del Norte
