name,latitude,longitude,county
Imperial Beach Pier,32.5797,-117.1364,San Diego
Ocean Beach Pier,32.7470,-117.2530,San Diego
Crystal Pier,32.7960,-117.2570,San Diego
Scripps Pier,32.8669,-117.2545,San Diego
Oceanside Pier,33.1955,-117.3859,San Diego
San Clemente Pier,33.4180,-117.6210,Orange
Newport Beach Pier,33.6066,-117.9298,Orange
Balboa Pier,33.5990,-117.9000,Orange
Huntington Beach Pier,33.6553,-118.0049,Orange
Seal Beach Pier,33.7390,-118.1050,Orange
Belmont Veterans Pier,33.7575,-118.1395,Los Angeles
Hermosa Beach Pier,33.8615,-118.4053,Los Angeles
Manhattan Beach Pier,33.8841,-118.4112,Los Angeles
Redondo Beach Pier,33.8389,-118.3923,Los Angeles
Venice Pier,33.9777,-118.4732,Los Angeles
Santa Monica Pier,34.0094,-118.4972,Los Angeles
Malibu Pier,34.0344,-118.6770,Los Angeles
Stearns Wharf,34.4080,-119.6855,Santa Barbara
Goleta Pier,34.4178,-119.8363,Santa Barbara
Gaviota Pier,34.4716,-120.2294,Santa Barbara
Pismo Beach Pier,35.1428,-120.6456,San Luis Obispo
Cayucos Pier,35.4500,-120.9000,San Luis Obispo
Avila Beach Pier,35.1791,-120.7325,San Luis Obispo
Monterey Wharf,36.6048,-121.8902,Monterey
Capitola Wharf,36.9740,-121.9540,Santa Cruz
Santa Cruz Wharf,36.9580,-122.0244,Santa Cruz
Pacifica Pier,37.6306,-122.4946,San Mateo
Pier 39 SF,37.8086,-122.4098,San Francisco
Berkeley Pier,37.8615,-122.3137,Alameda
Point Arena Pier,38.9050,-123.7080,Mendocino
Trinidad Pier,41.0586,-124.1430,Humboldt
