county,beach_name_normalized,station_code,beach_id,notes
East Bay Parks District,keller miller knox regional shoreline,,ca826873-east-bay-parks-district-keller-beach-contra-costa-co-keller-south-beach,EBRPD press releases call this 'Keller Beach at Miller/Knox Regional Shoreline'; closest sampled station is Keller South Beach
San Mateo,linda mar 5,,ca447069-san-mateo-pacifica-state-beach-linda-mar-beach-5,"Live SMC page posts as ""Linda Mar #5""; maps to Pacifica State Beach station"
San Mateo,fitzgerald marine reserve,,ca517375-san-mateo-fitzgerald-marine-moss-beach-fitzgerald-marine-moss-beach,"Live SMC page posts as ""Fitzgerald Marine Reserve""; maps to Moss Beach station"
San Mateo,pillar 7,,ca852440-san-mateo-pillar-point-harbor-pillar-point-7,"Live SMC page posts as ""Pillar Point #7""; direct station match"
San Mateo,dunes,,ca626051-san-mateo-dunes-state-beach-dunes-state-beach,"Live SMC page posts as ""Dunes Beach""; maps to Dunes State Beach"
San Mateo,gazos,,ca534500-san-mateo-gazos-creek-access-gazos-creek,"Live SMC page posts as ""Gazos Creek Beach""; maps to Gazos Creek station"
San Mateo,pomponio,,ca217714-san-mateo-pomponio-state-beach-pomponio-creek,"Live SMC page posts as ""Pomponio Creek""; maps to Pomponio Creek station"
San Mateo,marlin,,ca781317-san-mateo-marlin-park-foster-city-marlin-park,"Live SMC page posts as ""Marlin Park""; maps to Marlin Park station"
Orange,33rd street,,ca845616-orange-newport-bay-bnb11,"Live OC page posts as ""33rd Street Channel""; maps to Newport Bay BNB11 station per page label"
Orange,garnet avenue on south side of balboa island,,ca845616-orange-newport-bay-bnb31,"Live OC page posts as ""Garnet Avenue Beach on south side of Balboa Island""; maps to Newport Bay BNB31 station per page label"
