surf_name,latitude,longitude,county,region,notes
Black's Beach,32.8895,-117.2520,San Diego,San Diego,Torrey Pines / Scripps submarine canyon
La Jolla Shores,32.8570,-117.2570,San Diego,San Diego,beach break
Windansea,32.8330,-117.2790,San Diego,San Diego,reef break
Tourmaline,32.8050,-117.2620,San Diego,San Diego,longboard point
Pacific Beach Point,32.7940,-117.2560,San Diego,San Diego,PB
Ocean Beach,32.7490,-117.2530,San Diego,San Diego,OB pier
Sunset Cliffs,32.7180,-117.2540,San Diego,San Diego,reef breaks
Cardiff Reef,33.0170,-117.2820,San Diego,San Diego,
Swami's,33.0360,-117.2940,San Diego,San Diego,reef point
Pipes,33.0240,-117.2880,San Diego,San Diego,Cardiff
Moonlight Beach,33.0470,-117.2970,San Diego,San Diego,Encinitas
Beacon's,33.0530,-117.3010,San Diego,San Diego,Encinitas
D Street,33.0610,-117.3050,San Diego,San Diego,Encinitas
Oceanside Pier,33.1930,-117.3860,San Diego,San Diego,
Trestles,33.3820,-117.5890,San Diego,San Diego,Lower Trestles San Mateo Creek
San Onofre,33.3720,-117.5660,San Diego,San Diego,Old Man's
San Clemente Pier,33.4180,-117.6210,Orange,Orange,
T-Street,33.4120,-117.6130,Orange,Orange,San Clemente
Doheny,33.4610,-117.6860,Orange,Orange,Dana Point
Salt Creek,33.4880,-117.7270,Orange,Orange,Dana Point
Thalia Street,33.5390,-117.7870,Orange,Orange,Laguna Beach
The Wedge,33.5930,-117.8820,Orange,Orange,Newport
Blackies,33.6080,-117.9290,Orange,Orange,Newport Beach
Huntington Beach Pier,33.6535,-118.0000,Orange,Santa Ana,Surf City
Bolsa Chica,33.6870,-118.0470,Orange,Santa Ana,
Seal Beach,33.7390,-118.1080,Orange,Santa Ana,
El Porto,33.9020,-118.4200,Los Angeles,Los Angeles,Manhattan Beach
Manhattan Beach Pier,33.8840,-118.4110,Los Angeles,Los Angeles,
Hermosa Beach Pier,33.8620,-118.4030,Los Angeles,Los Angeles,
Venice Breakwater,33.9810,-118.4730,Los Angeles,Los Angeles,
Topanga,34.0390,-118.5820,Los Angeles,Los Angeles,point break
Surfrider,34.0370,-118.6770,Los Angeles,Los Angeles,Malibu First Point
Zuma,34.0150,-118.8210,Los Angeles,Los Angeles,Malibu
County Line,34.0510,-118.9630,Ventura,Los Angeles,Neptune's Net
C Street,34.2730,-119.3050,Ventura,Los Angeles,Surfers Point Ventura
Emma Wood,34.2910,-119.3380,Ventura,Los Angeles,Ventura
Rincon,34.3730,-119.4760,Ventura,Central Coast,Queen of the Coast
Campus Point,34.4060,-119.8430,Santa Barbara,Central Coast,UCSB
Steamer Lane,36.9510,-122.0260,Santa Cruz,Central Coast,
Pleasure Point,36.9560,-121.9670,Santa Cruz,Central Coast,
Mavericks,37.4940,-122.5010,San Mateo,Bay Area,Half Moon Bay big wave
Linda Mar,37.5930,-122.5070,San Mateo,Bay Area,Pacifica
Ocean Beach SF,37.7590,-122.5110,San Francisco,Bay Area,
