beach_id,name,county,n,positives,auroc_ml,auroc_persistence
ca000886-los-angeles-topanga-state-beach-smb-1-18,Topanga Beach,Los Angeles,60,4,0.8705,0.8482
ca003379-orange-doheny-state-beach-dsb4z,Doheny State Beach - South Day Use Area Drain,Orange,10,3,0.8571,0.2857
ca003379-orange-doheny-state-beach-s-0,Surfzone at Outfall,Orange,10,3,0.8571,0.2857
ca003379-orange-doheny-state-beach-s-1,1000' South Outfall,Orange,21,3,0.4259,0.4722
ca006650-orange-newport-beach-bgcu,Little Corona - Upcoast,Orange,17,3,0.6905,0.5
ca034301-los-angeles-marina-del-rey-beach-mothers-beach-mdrh-1,Playground,Los Angeles,62,4,0.5776,0.5819
ca034301-los-angeles-marina-del-rey-beach-mothers-beach-mdrh-2,Lifeguard Tower,Los Angeles,47,4,0.843,0.4651
ca059339-san-diego-san-elijo-state-beach-se-070,stairs near main entrance,San Diego,54,3,0.2484,0.5
ca068221-san-diego-imperial-beach-municipal-beach-other-eh-010,Cortez Ave,San Diego,66,61,0.6557,0.5672
ca068221-san-diego-imperial-beach-municipal-beach-other-ib-050,End of Seacoast Dr,San Diego,147,138,0.4537,0.4674
ca104746-san-diego-tijuana-slough-national-wildlife-refuge-ib-030,Tijuana Estuary mouth,San Diego,53,29,0.6516,0.8233
ca104746-san-diego-tijuana-slough-national-wildlife-refuge-ib-040,3/4 mi. N of TJ River,San Diego,53,27,0.6952,0.3953
ca113100-san-mateo-erckenbrack-park-foster-city-erckenbrack-park,"Erckenbrack Park, at beach",San Mateo,27,15,0.3389,0.775
ca128038-san-luis-obispo-pismo-state-beach-pb4,40 ft south of pier,San Luis Obispo,57,3,0.3395,0.5
ca128038-san-luis-obispo-pismo-state-beach-pb5,338 yds north of pier-Edgewater Motel with blue ro,San Luis Obispo,57,3,0.6605,0.5
ca133077-long-beach-city-alamitos-bay-beach-b-14,Alamitos-Bay shore Float,Los Angeles,39,3,0.5324,0.4583
ca133077-long-beach-city-alamitos-bay-beach-b-22,Mothers' Beach,Los Angeles,45,6,0.4658,0.4487
ca133077-long-beach-city-alamitos-bay-beach-b-31,56th Place-On Bayside,Los Angeles,38,3,0.6476,0.5
ca133077-long-beach-city-alamitos-bay-beach-b-67,2nd St Bridge & Bayshore,Los Angeles,40,3,0.6216,0.4595
ca134387-san-diego-north-imperial-beach-ib-060,Carnation Ave.,San Diego,148,139,0.5344,0.5931
ca148363-marin-mcnears-beach-mcnears-beach,McNEARS BEACH,Marin,45,3,0.3095,0.5
ca149281-los-angeles-paradise-cove-dph-006,Ramirez Creek,Los Angeles,23,7,0.4286,0.6205
ca152716-san-diego-cardiff-state-beach-se-060,Cardiff/ San Elijo Lagoon,San Diego,25,8,0.2059,0.4118
ca156348-ventura-san-buenaventura-state-beach-21000,S.B. St. Bch-Weymouth Ln.,Ventura,64,3,0.4044,0.4918
ca185079-orange-san-clemente-city-beach-s-19,450\' North of Pier,Orange,11,1,0.7,0.5
ca192160-san-diego-mission-bay-mariners-basin-mb-170,Bonita Cove north end,San Diego,21,4,0.0882,0.3824
ca202251-santa-cruz-cowell-beach-o490,O490,Santa Cruz,64,3,0.224,0.4918
ca204955-san-diego-coronado-city-beaches-eh-050,Loma Ave (frmrly Isabella,San Diego,52,38,0.4821,0.5432
ca204955-san-diego-coronado-city-beaches-ib-079,Avenida Lunar,San Diego,66,39,0.4459,0.5812
ca210985-los-angeles-hermosa-beach-dph-115,Herondo Street at Storm Drain,Los Angeles,61,1,0.5417,0.4917
ca211999-san-diego-mission-bay-vacation-isle-mb-205,Mission Bay Vacation Isle North Cove,San Diego,26,9,0.4967,0.5
ca212282-monterey-del-monte-beach-dmb,DMB,Monterey,18,3,0.5111,0.4333
ca217714-san-mateo-pomponio-state-beach-pomponio-state-beach,Pomponio State Beach,San Mateo,62,3,0.8475,0.4576
ca218180-santa-barbara-east-beach-wp0000085,East Beach- Mission Creek,Santa Barbara,66,6,0.6458,0.7167
ca228730-humboldt-clam-beach-co-park-clam-beach-co-park,Clam Beach near Strawberry Creek,Humboldt,28,11,0.6791,0.9412
ca246103-san-diego-mission-bay-leisure-lagoon-mb-053,Comfort St N of Leisure,San Diego,25,11,0.1169,0.2857
ca273334-san-diego-south-casa-beach-s-d-eh-310,Children's Pool,San Diego,52,9,0.6047,0.4302
ca279698-long-beach-city-long-beach-b-10,55th Place-Beach,Los Angeles,39,3,0.6574,0.5
ca279698-long-beach-city-long-beach-b-11,72nd Place-Beach,Los Angeles,37,6,0.3763,0.4516
ca279698-long-beach-city-long-beach-b-5,5th Place-Beach,Los Angeles,71,13,0.634,0.4609
ca279698-long-beach-city-long-beach-b-56,10th Place-Beach,Los Angeles,77,13,0.3377,0.5222
ca279698-long-beach-city-long-beach-b-60,Molino Ave-Beach,Los Angeles,80,8,0.5365,0.4583
ca279698-long-beach-city-long-beach-b-64,Granada Ave-Beach,Los Angeles,43,6,0.6171,0.7365
ca279698-long-beach-city-long-beach-b-7,Coronado Ave-Beach,Los Angeles,76,13,0.6703,0.4683
ca279698-long-beach-city-long-beach-b-8,W/side of Belmont Pier,Los Angeles,68,8,0.6104,0.4833
ca279698-long-beach-city-long-beach-b-9,Prospect Ave-Beach,Los Angeles,32,3,0.7241,0.4483
ca289877-san-diego-mission-bay-ventura-cove-mb-223,Ventura Cove,San Diego,22,1,0.0,0.5
ca290892-mendocino-hare-creek-hare-creek,Hare Creek,Mendocino,59,2,0.0526,0.4737
ca296453-humboldt-luffenholtz-beach-luffenholtz-creek,Luffenholtz Beach near Luffenholtz Creek.,Humboldt,26,3,0.2754,0.4783
ca308430-san-mateo-aquatic-park-aquatic-park,Aquatic Park,San Mateo,62,3,1.0,0.4746
ca311337-monterey-spanish-bay-beach-spb,SPB,Monterey,26,6,0.45,0.45
ca316627-san-diego-dog-beach-o-b-fm-010,San Diego River outlet,San Diego,88,21,0.3696,0.3252
ca326620-san-diego-moonlight-beach-eh-420,Cottonwood Creek outlet,San Diego,66,6,0.2861,0.4833
ca331043-marin-lawson-s-landing-lawsons-landing,LAWSONS LANDING,Marin,51,3,0.2361,0.4688
ca331294-los-angeles-escondido-beach-smb-1-8,Escondido Creek,Los Angeles,28,3,0.4133,0.44
ca333308-san-diego-oceanside-municipal-beach-other-oc-050,Tyson Street,San Diego,62,5,0.8982,0.5737
ca333380-marin-muir-beach-muir-beach-central,MUIR BEACH - CENTRAL,Marin,36,3,1.0,0.4545
ca351889-marin-bolinas-beach-bolinas,BOLINAS,Marin,48,3,0.0,0.4667
ca377016-san-diego-mission-bay-fanuel-park-mb-120,Fanuel Park,San Diego,23,4,0.0,0.5
ca397227-san-diego-mission-bay-campland-on-the-bay-mb-080,Campland swimming area,San Diego,24,7,0.2269,0.4118
ca400333-san-mateo-oyster-point-marina-oyster-point-marina,"Oyster Point Marina, at beach",San Mateo,43,3,0.6833,0.4625
ca400656-humboldt-moonstone-beach-moonstone-beach,Moonstone Beach near Little River,Humboldt,26,3,0.5652,0.4783
ca402275-santa-barbara-el-capitan-state-beach-wp0000013,WP0000013,Santa Barbara,34,3,0.1398,0.4839
ca412549-orange-huntington-harbour-bhh15,Mothers Beach,Orange,20,3,0.0392,0.5
ca415021-los-angeles-leo-carillo-state-beach-dph-010,Leo Carrillo State Beach,Los Angeles,24,3,1.0,0.4286
ca424988-san-diego-mission-bay-sail-bay-mb-131,"Santa Clara Cove, S end",San Diego,27,10,0.4059,0.4706
ca432205-san-mateo-san-gregorio-state-beach-san-gregorio-state-beach,San Gregorio State Beach,San Mateo,59,9,0.5556,0.42
ca432983-san-diego-imperial-beach-pier-area-eh-030,Imperial Beach Pier,San Diego,66,62,0.5565,0.6089
ca435852-los-angeles-dan-blocker-county-beach-smb-1-10,Solstice Creek,Los Angeles,36,20,0.5531,0.5938
ca436129-marin-drakes-estero-drakes-estero,Drake\'s Estero,Marin,42,3,0.3291,0.4615
ca447069-san-mateo-pacifica-state-beach-linda-mar-beach-5,Linda Mar Beach # 555,San Mateo,27,15,0.4667,0.325
ca447069-san-mateo-pacifica-state-beach-linda-mar-beach-7,Linda Mar Beach #7 (S. pump station),San Mateo,62,30,0.4417,0.4187
ca447750-marin-schoonmaker-beach-schoonmaker-beach,SCHOONMAKER BEACH,Marin,45,3,0.8175,0.4643
ca465304-san-luis-obispo-olde-port-beach-olde12,131 yds west of lifeguard station/restrooms,San Luis Obispo,57,2,0.9545,0.5
ca474271-los-angeles-avalon-beach-dph-117,near storm drain,Los Angeles,27,3,0.5556,0.4792
ca474271-los-angeles-avalon-beach-dph-119,north of GP Pier,Los Angeles,29,9,0.5556,0.375
ca474271-los-angeles-avalon-beach-dph-120,West of the pier,Los Angeles,27,3,1.0,0.4375
ca485061-orange-dana-point-harbor-bdp12,Baby Beach - West End,Orange,18,5,0.6692,0.5846
ca504816-ventura-promenade-park-beach-14000,Promenade Pk-Figueroa St.,Ventura,63,4,0.7627,0.4746
ca506450-san-diego-san-diego-bay-eh-070,Tidelands Park,San Diego,68,25,0.4772,0.4488
ca506450-san-diego-san-diego-bay-eh-080,Glorietta Bay,San Diego,26,7,0.594,0.5714
ca506450-san-diego-san-diego-bay-eh-120,Bayside Park (J Street),San Diego,26,3,0.4638,0.5
ca506450-san-diego-san-diego-bay-eh-200,Shelter Is shoreline park,San Diego,67,17,0.4471,0.4094
ca506450-san-diego-san-diego-bay-eh-211,Lawrence St. outlet,San Diego,21,3,0.4722,0.5
ca517375-san-mateo-fitzgerald-marine-moss-beach-fitzgerald-marine-moss-beach,Fitzgerald Marine (Moss Beach),San Mateo,59,12,0.3927,0.6968
ca522676-san-mateo-lakeshore-park-lakeshore-park-rec-center,Lakeshore Park Rec Center,San Mateo,62,3,0.5311,0.4492
ca527007-ventura-rincon-beach-1000,1000,Ventura,64,3,0.1585,0.5
ca530302-mendocino-caspar-headlands-sb-caspar-headlands,Casper Headlands,Mendocino,59,3,0.25,0.4732
ca531242-san-diego-san-dieguito-river-beach-eh-380,San Dieguito River outlet,San Diego,78,15,0.736,0.4524
ca534500-san-mateo-gazos-creek-access-gazos-creek-access,Gazos Creek Access,San Mateo,62,9,0.5157,0.3868
ca549911-east-bay-parks-district-crown-beach-alameda-co-crown-2001-shoreline-dr,2001 Shoreline Dr.,East Bay Parks District,51,6,0.4444,0.4556
ca549911-east-bay-parks-district-crown-beach-alameda-co-crown-bath-house,Bath House,East Bay Parks District,46,3,0.186,0.4651
ca549911-east-bay-parks-district-crown-beach-alameda-co-crown-bird-sanctuary,Bird Sanctuary,East Bay Parks District,49,3,0.1594,0.4674
ca549911-east-bay-parks-district-crown-beach-alameda-co-crown-crab-cove,Crab Cove,East Bay Parks District,51,3,0.8229,0.4375
ca549911-east-bay-parks-district-crown-beach-alameda-co-crown-sunset-rd,Sunset Rd.,East Bay Parks District,49,5,0.2955,0.4318
ca549911-east-bay-parks-district-crown-beach-alameda-co-crown-windsurfer-corner,Windsurfer Corner,East Bay Parks District,48,3,0.0889,0.4444
ca575202-los-angeles-will-rogers-state-beach-dph-102,Bel Air Bay Club on Will Rogers Beach,Los Angeles,32,8,0.3333,0.4583
ca575202-los-angeles-will-rogers-state-beach-smb-2-1,Castle Rock SD,Los Angeles,24,3,0.8095,0.7619
ca576166-santa-barbara-leadbetter-wp0000007,WP0000007,Santa Barbara,63,5,0.3241,0.4655
ca604254-san-diego-coronado-north-beach-eh-060,Navy Fence (A),San Diego,131,81,0.614,0.6548
ca606869-san-diego-south-carlsbad-state-beach-eh-440,Batiquitos Lagoon outlet,San Diego,28,6,0.4924,0.4773
ca614148-monterey-lover-s-point-lop,Lovers Point,Monterey,24,3,0.5397,0.4762
ca624767-san-diego-harbor-beach-oc-100,San Luis Rey River outlet,San Diego,93,11,0.6203,0.4817
ca626051-san-mateo-dunes-state-beach-dunes-state-beach,Dunes State Beach,San Mateo,62,6,0.4896,0.4464
ca631766-san-francisco-baker-beach-ocean-15-sl,"Baker Beach, Lobos Creek at Lower Parking Lot",San Francisco,39,3,0.7222,0.5
