beach_id,risk_band,p_exceed,sample_age_days_served,advisory_floor_applied,name,county,forecast_date,n_365d,rate_365d,p_lookup,last_sample_date,last_sample_exceeds,last_sample_value,sample_age_days_lookup,advisory_active,rain_flag,band,abs_diff,p_diff
ca801475-san-diego-silver-strand-state-beach-ib-068,Moderate,0.257143,2,False,Silver Strand - Guard Shack,San Diego,2026-09-22,323,0.8235294117647058,0.8137042571576192,2026-09-20,False,545.0,2,False,False,Elevated,0.5565612571576192,0.5565612571576192
ca204955-san-diego-coronado-city-beaches-ib-079,High,0.3,2,True,Avenida Lunar,San Diego,2026-09-22,324,0.691358024691358,0.6835714174702099,2026-09-20,False,217.0,2,False,False,Elevated,0.3835714174702099,0.3835714174702099
ca575202-los-angeles-will-rogers-state-beach-smb-2-1,Low,0.064538,6,False,Castle Rock SD,Los Angeles,2026-09-22,65,0.4461538461538462,0.4270713763957007,2026-09-16,False,10.0,6,False,False,Elevated,0.3625333763957007,0.3625333763957007
ca506450-san-diego-san-diego-bay-eh-080,Low,0.064538,4,False,Glorietta Bay,San Diego,2026-09-22,37,0.3783783783783784,0.35464277018331075,2026-09-18,False,262.0,4,False,False,Elevated,0.29010477018331077,0.29010477018331077
ca316627-san-diego-dog-beach-o-b-fm-010,Low,0.064538,5,False,San Diego River outlet,San Diego,2026-09-22,78,0.358974358974359,0.348132486116856,2026-09-17,False,423.0,5,False,False,Elevated,0.283594486116856,0.283594486116856
ca204955-san-diego-coronado-city-beaches-eh-050,High,0.481481,8,False,Loma Ave (frmrly Isabella,San Diego,2026-09-22,217,0.7741935483870968,0.7607882718364822,2026-09-14,False,419.0,8,False,False,Elevated,0.27930727183648224,0.27930727183648224
ca113100-san-mateo-erckenbrack-park-foster-city-erckenbrack-park,High,0.684211,8,False,"Erckenbrack Park, at beach",San Mateo,2026-09-22,46,0.43478260869565216,0.40970581073919704,2026-09-14,False,30.0,8,False,False,Elevated,0.274505189260803,-0.274505189260803
ca389133-marin-dillon-beach-dillon,High,0.3,8,True,DILLON,Marin,2026-09-22,28,0.0,0.027121101445425767,2026-09-14,False,10.0,8,True,False,Posted,0.2728788985545742,-0.2728788985545742
ca331294-los-angeles-escondido-beach-smb-1-8,Low,0.064538,7,False,Escondido Creek,Los Angeles,2026-09-22,62,0.3387096774193548,0.3267909902641649,2026-09-15,False,10.0,7,False,False,Elevated,0.26225299026416493,0.26225299026416493
ca000886-los-angeles-topanga-state-beach-smb-1-18,Low,0.013051,3,False,Topanga Beach,Los Angeles,2026-09-22,235,0.2680851063829787,0.26622915144874604,2026-09-19,False,10.0,3,False,False,Elevated,0.25317815144874606,0.25317815144874606
ca575202-los-angeles-will-rogers-state-beach-smb-2-7,Low,0.019868,3,False,Santa Monica Canyon on Will Rogers State Beach,Los Angeles,2026-09-22,234,0.27350427350427353,0.27152718137112575,2026-09-19,False,10.0,3,False,False,Elevated,0.25165918137112575,0.25165918137112575
ca474271-los-angeles-avalon-beach-dph-120,High,0.3,5,True,West of the pier,Los Angeles,2026-09-22,30,0.03333333333333333,0.05414275279140144,2026-09-17,False,10.0,5,True,False,Posted,0.24585724720859856,-0.24585724720859856
ca844317-ventura-solimar-beach-10000,High,0.3,8,True,10000,Ventura,2026-09-22,28,0.03571428571428571,0.05742413174845607,2026-09-14,False,10.0,8,False,False,Low,0.24257586825154392,-0.24257586825154392
ca068221-san-diego-imperial-beach-municipal-beach-other-ib-050,High,0.684211,2,False,End of Seacoast Dr,San Diego,2026-09-22,279,0.9390681003584229,0.9256866068580953,2026-09-20,True,1685.0,2,False,False,Elevated,0.24147560685809533,0.24147560685809533
